Country,"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),GDP growth (annual %),GDP (current US$),Statistical performance indicators (SPI): Overall score (scale 0-100),"Annual freshwater withdrawals, total (% of internal resources)","Unemployment, total (% of total labor force) (modeled ILO estimate)",People using safely managed sanitation services (% of population),Population growth (annual %),Forest area (% of land area),Proportion of seats held by women in national parliaments (%),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Inflation, consumer prices (annual %)",Access to electricity (% of population),Human Capital Index (HCI) (scale 0-1),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),"Personal remittances, received (% of GDP)","Life expectancy at birth, total (years)",CO2 emissions (metric tons per capita),Net migration,"Central government debt, total (% of GDP)",Individuals using the Internet (% of population),"Intentional homicides (per 100,000 people)"
Greece,"10,361,295",0.6,2.0,238.21,88.7,17,11.0,92,-0.6,30.3,23,16.9,3.5,100.0,0.7,3.7,"22,990.0",0.2,81,4.8,"5,000",203.3,83,1
Greenland,"56,865",,1.3,3.24,,,,0,0.4,0.0,,,,100.0,,,"57,116.3",,72,,-100,,69,5
Grenada,"126,183",0.3,4.8,1.32,41.1,7,,,0.6,52.1,31,,2.7,94.2,0.6,12.8,"10,463.6",3.7,75,2.6,-200,,78,4
Guam,"172,952",,5.1,6.91,,,5.4,,0.7,51.9,,,,100.0,,,"40,227.3",,78,,-500,,81,4
Guatemala,"17,602,431",9.5,3.5,102.05,72.0,3,2.7,,1.4,32.8,20,25.3,6.2,99.1,0.5,1.5,"5,797.5",19.5,69,1.0,"-9,110",25.2,51,20
Guinea,"14,190,612",13.8,7.1,23.61,57.9,0,5.3,,2.4,25.0,30,,7.8,47.7,0.4,3.1,"1,663.9",2.4,59,0.3,"-4,000",,35,
Guinea-Bissau,"2,150,842",26.0,4.2,1.97,40.0,1,3.2,15,2.1,70.1,10,,9.4,37.4,,1.3,914.3,9.4,60,0.2,"-1,400",,35,1
Guyana,"813,834",,33.0,16.79,56.5,1,12.4,44,0.6,93.5,37,,2.8,93.0,0.5,3.0,"20,626.2",3.3,66,3.5,"-3,900",,85,16
Haiti,"11,724,763",29.2,-1.9,19.85,39.6,11,14.6,,1.2,12.5,3,0.0,36.8,49.3,0.4,0.2,"1,693.1",21.4,64,0.3,"-31,811",,39,13
Honduras,"10,593,798",12.7,3.6,34.4,61.0,2,6.1,53,1.5,56.6,27,16.2,6.7,94.4,0.5,2.4,"3,247.2",25.6,71,0.9,"-5,034",,48,38
"Hong Kong SAR, China","7,536,100",,3.2,382.05,,,3.9,97,2.6,,,0.3,2.1,100.0,0.8,34.1,"50,696.6",0.1,84,,"19,999",,96,0
Hungary,"9,589,872",0.4,-0.9,212.39,87.9,78,4.1,88,-0.6,22.5,14,9.8,17.1,100.0,0.7,-5.8,"22,147.2",1.7,76,4.6,"-156,677",75.5,90,1
Iceland,"393,600",0.0,4.1,31.02,86.9,0,3.6,,3.0,0.5,48,26.7,8.7,100.0,0.7,4.0,"78,811.1",0.7,82,3.9,380,86.5,100,1
